Feature,Gain,Cover,Frequency
fulli,0.0019807962814834,0.00336247395642011,0.00213371266002845
passeng,0.0019794728531825,0.00303530473959453,0.000948316737790422
valu,0.00192645610662354,0.00159716581400455,0.000711237553342817
result,0.00192173144148621,0.00231877349052987,0.00237079184447606
mek,0.00190503196899115,0.00137598167369311,0.000711237553342817
unclassifi,0.00188512572792084,0.00116717805386074,0.000474158368895211
nucleus,0.0018626074344118,0.00137037179348272,0.000948316737790422
side,0.00183462227698788,0.00192670354723683,0.00118539592223803
subtyp,0.00181370932550064,0.00164865056037139,0.00118539592223803
steric,0.00180982518090155,0.000903099389706621,0.000237079184447606
domin,0.00179964670341049,0.0013750423689872,0.00142247510668563
idh,0.00178863771157807,0.00555813966434406,0.00237079184447606
conclud,0.00178657599996796,0.000642054896216176,0.000237079184447606
tissu,0.00178586512493716,0.00235396388930074,0.00189663347558084
direct,0.00178298856085908,0.00175122669208649,0.00213371266002845
nwords,0.00172038239726909,0.000128108505323169,0.00118539592223803
biallel,0.00169968349138476,0.00113049886414709,0.000474158368895211
ligand,0.00168710265653749,0.000856297249710505,0.000711237553342817
sclerosi,0.00168399246951477,0.00278318977126122,0.00142247510668563
germlin,0.00167386358795609,0.000228573530561263,0.000711237553342817
syndrom,0.00165177860627733,0.000398437906097987,0.000711237553342817
constitut,0.00163722220012356,0.00347591156797914,0.00237079184447606
treatment,0.00162403055221434,0.00120810531253922,0.00142247510668563
raf,0.00161227240077175,0.00076565076853507,0.000237079184447606
unstabl,0.00160182245080871,0.00106060919278935,0.000948316737790422
gfpposit,0.0015954576394865,0.00236649439304537,0.000711237553342817
addit,0.00158219855851133,0.000607173044307414,0.00165955429113324
stabil,0.00157843057280651,0.0011513081221006,0.000948316737790422
ligas,0.00157239074535701,0.00378368672937888,0.00142247510668563
cultur,0.00156142221336416,0.000783156438032536,0.000948316737790422
embryon,0.00156123731624783,0.00106301789642994,0.000474158368895211
two,0.0015178043310434,0.00163925880151209,0.00213371266002845
catalyz,0.0015079786807555,0.00225416129782005,0.000948316737790422
lost,0.00149963742802272,0.00133164804661526,0.000948316737790422
achiev,0.00148971258587006,0.0020291296036721,0.00142247510668563
map,0.00148798151380916,0.000719801436339481,0.000711237553342817
agent,0.00147754113499096,0.00212133321939184,0.00142247510668563
size,0.0014754550604667,0.000319671640793862,0.00118539592223803
possibl,0.00146519827360872,0.00249213247615411,0.00213371266002845
whether,0.00144688214773886,0.00191721515038694,0.00189663347558084
furthermor,0.00143030144445029,0.00013437453931681,0.00165955429113324
analyz,0.00141729556376148,0.00157846096848967,0.00165955429113324
well,0.00140581149510309,0.000662457451081481,0.00118539592223803
favor,0.00138372259795598,0.00118526575964427,0.000711237553342817
tabl,0.00138238220262559,0.000176464283321211,0.000474158368895211
lee,0.00138162521207872,0.000277632366618394,0.000237079184447606
articl,0.0013777236653981,0.00139932362452054,0.000711237553342817
ras,0.00137511422327161,0.00106830871714749,0.000474158368895211
signal,0.00137211932503907,0.000889578122273703,0.00142247510668563
none,0.00135783961198174,0.000507819551491374,0.00118539592223803
gel,0.00133816481859587,0.000279797163423902,0.000948316737790422
decreas,0.00131096101463297,0.00100371584743508,0.00142247510668563
control,0.0013027093826201,0.00265151550581367,0.00118539592223803
realtim,0.00130123629641798,0.000187209250091513,0.000237079184447606
initi,0.00129089206410028,0.00129892682786613,0.00213371266002845
erk,0.00129084333827197,0.00129107021213982,0.000948316737790422
allow,0.00127361832291449,0.00175407575303575,0.00189663347558084
nonconserv,0.00127152311229742,0.00093068595896363,0.000711237553342817
blue,0.00125881219689067,0.000875457381849918,0.00142247510668563
purifi,0.00125321960293668,0.00081109155735699,0.000711237553342817
seen,0.00123998444982362,0.000594940597797724,0.00118539592223803
negat,0.0012385566090335,0.00159859732606218,0.00118539592223803
compon,0.00123752858106669,0.000315395714507777,0.000948316737790422
highlight,0.00123356786730884,0.00197455823850578,0.00118539592223803
level,0.00122722045806818,0.0013982260322609,0.00142247510668563
null,0.00121754925125392,0.00139916071324958,0.00118539592223803
“,0.00121451780865015,0.00180634310380099,0.00189663347558084
mutat,0.00120246477893591,0.00223870266986177,0.00165955429113324
display,0.00116796811064243,0.00180974949520393,0.00213371266002845
wide,0.0011651137342183,0.00037456480287765,0.000948316737790422
transfect,0.00116194307496224,0.00035102209990934,0.00118539592223803
show,0.00116001666453608,0.000832670974778426,0.00142247510668563
sever,0.00115546732537023,0.00109284432313594,0.00189663347558084
harbor,0.00115084533251397,0.00152189284758455,0.00165955429113324
analys,0.00115030282262205,0.0009407424289336,0.000948316737790422
popul,0.00115009399764361,0.000317270643348668,0.00118539592223803
iii,0.00114448574181623,0.000296130041996832,0.000711237553342817
promot,0.00113880787766271,0.00123398777745381,0.000948316737790422
rare,0.00113298209581612,0.00141901421894581,0.00118539592223803
loui,0.00112996457487758,0.00024173759858504,0.000711237553342817
goat,0.00112786631889624,0.000516126439064322,0.000474158368895211
paralog,0.00112407875584969,0.000622945831998471,0.000237079184447606
ethnic,0.00111624129337741,0.00074720443712116,0.000711237553342817
wholecel,0.00111187554617178,0.00147598255593286,0.000474158368895211
propag,0.00110537108314524,0.000360402195959491,0.000474158368895211
progress,0.00109994250380974,0.000500276083340832,0.000474158368895211
may,0.00109756972999215,0.000534702648625064,0.00165955429113324
extend,0.0010807232099081,0.00314277356926998,0.00142247510668563
exampl,0.0010673505803509,0.000162741849683184,0.000711237553342817
fibroblast,0.00106452013178888,6.36147579867185e-05,0.000237079184447606
howev,0.0010413684025119,0.000900206598973945,0.00118539592223803
support,0.0010394019672982,0.000553895330813674,0.00165955429113324
